run_id,timestamp,network,scenario,contract,function_name,concurrency,tx_per_user,tps_avg,tps_peak,p50_ms,p95_ms,success_rate
RUN_0027,2025-04-01 01:08:22.072249,Sepolia,Heavy Load,SmartTourismToken,transferToken,68,11,220.86,245.5978845870087,453,600,0.8106
RUN_0028,2024-06-22 00:32:27.072249,Sepolia,Heavy Load,SmartTourismToken,bookTour,52,3,21.51,66.69069392994305,251,420,0.9531
RUN_0029,2024-02-09 23:27:37.072249,Sepolia,Light Load,SmartTourismToken,bookTour,78,12,495.5,544.2784232531691,249,345,0.9042
RUN_0030,2024-07-12 21:10:55.072249,Polygon,Light Load,SmartReservation,transferToken,48,7,286.19,343.81242790859875,360,473,0.9298
RUN_0031,2024-02-28 19:15:02.072249,Polygon,Mixed,SmartReservation,bookTour,92,13,373.28,468.5839590808161,254,347,0.8227
RUN_0032,2025-04-30 11:11:46.072249,Polygon,Mixed,SmartTourismToken,transferToken,72,3,493.18,506.94691822132324,272,414,0.8231
RUN_0033,2023-10-03 17:13:09.072249,Polygon,Light Load,SmartReservation,transferToken,36,19,102.18,173.60563587643088,321,412,0.8104
RUN_0034,2025-01-03 05:03:02.072249,Polygon,Mixed,SmartTourismToken,transferToken,27,9,360.27,368.0376583693826,170,246,0.967
RUN_0035,2025-05-03 22:31:36.072249,Sepolia,Light Load,SmartTourismToken,cancelTour,14,2,443.3,459.6714460267965,108,237,0.8268
RUN_0036,2024-09-16 18:13:50.072249,Polygon,Heavy Load,SmartReservation,transferToken,58,14,21.46,115.34850780670783,366,429,0.9188
RUN_0037,2023-10-20 13:06:55.072249,Sepolia,Mixed,SmartReservation,bookTour,28,18,116.67,204.03076714499832,208,322,0.8686
RUN_0038,2025-02-15 02:09:08.072249,Goerli,Mixed,SmartTourismToken,cancelTour,2,2,297.52,346.0035911555451,482,538,0.9134
RUN_0039,2025-04-26 07:15:35.072249,Sepolia,Light Load,SmartReservation,cancelTour,93,3,218.3,245.24910301389446,268,338,0.941
RUN_0040,2025-06-11 02:22:18.072249,Goerli,Light Load,SmartTourismToken,mintToken,40,1,367.69,420.4280765941823,492,668,0.9054
RUN_0041,2024-07-29 12:05:33.072249,Goerli,Heavy Load,SmartReservation,mintToken,23,9,127.16,200.25849911692217,285,411,0.8248
RUN_0042,2025-01-13 05:37:06.072249,Goerli,Heavy Load,SmartReservation,transferToken,94,17,357.17,446.3051821814398,258,443,0.8581
RUN_0043,2024-07-22 21:07:15.072249,Sepolia,Heavy Load,SmartTourismToken,mintToken,77,8,245.21,273.5973723682431,220,378,0.9325
RUN_0044,2024-12-18 01:45:14.072249,Polygon,Mixed,SmartTourismToken,mintToken,100,2,245.74,290.55823139890146,401,498,0.9331
RUN_0045,2024-07-29 05:49:49.072249,Goerli,Mixed,SmartReservation,transferToken,11,13,413.77,444.1724494167077,208,297,0.8258
RUN_0046,2025-03-06 03:03:00.072249,Polygon,Heavy Load,SmartTourismToken,cancelTour,27,10,345.36,431.8201271844121,238,326,0.8941
RUN_0047,2024-01-01 13:31:46.072249,Goerli,Light Load,SmartReservation,cancelTour,92,18,11.9,33.313496607186565,127,261,0.8198
RUN_0048,2025-02-17 22:45:53.072249,Goerli,Mixed,SmartTourismToken,mintToken,92,17,69.02,72.30339901133271,372,516,0.9207
RUN_0049,2025-04-22 21:58:39.072249,Polygon,Mixed,SmartReservation,bookTour,30,1,284.53,339.2322401407622,165,253,0.9623
RUN_0050,2025-04-30 15:04:11.072249,Goerli,Mixed,SmartReservation,transferToken,22,19,51.53,90.75600226010661,54,200,0.9368
RUN_0051,2025-07-24 13:29:54.072249,Polygon,Mixed,SmartTourismToken,transferToken,89,5,380.61,455.78655799139284,128,286,0.9019
RUN_0052,2024-06-01 00:32:27.072249,Sepolia,Heavy Load,SmartReservation,cancelTour,78,7,378.53,417.20350605705994,148,203,0.922
RUN_0053,2024-05-20 04:54:33.072249,Goerli,Heavy Load,SmartTourismToken,cancelTour,4,20,158.32,163.33178352489927,166,274,0.9083
RUN_0054,2023-09-17 06:45:15.072249,Goerli,Light Load,SmartReservation,mintToken,28,1,471.45,536.8553372906958,170,283,0.911
RUN_0055,2023-09-15 18:13:47.072249,Sepolia,Mixed,SmartReservation,cancelTour,10,10,303.36,318.8657020986228,310,384,0.9015
RUN_0056,2023-09-18 04:25:20.072249,Goerli,Light Load,SmartReservation,bookTour,48,3,434.51,462.15233269334294,268,450,0.8863
RUN_0057,2024-10-16 19:30:42.072249,Goerli,Light Load,SmartTourismToken,cancelTour,100,18,309.41,326.7471142478744,107,189,0.9772
RUN_0058,2023-09-27 15:20:05.072249,Goerli,Mixed,SmartReservation,transferToken,35,14,428.34,506.42401241117716,255,306,0.9444
RUN_0059,2024-11-12 07:58:44.072249,Polygon,Mixed,SmartReservation,transferToken,32,18,163.31,211.85189917718193,107,196,0.8363
RUN_0060,2024-07-27 01:14:56.072249,Sepolia,Heavy Load,SmartTourismToken,transferToken,43,16,40.6,78.5236786391935,396,591,0.991
RUN_0061,2025-07-10 06:01:35.072249,Sepolia,Mixed,SmartTourismToken,transferToken,57,10,123.61,167.9185164695803,340,473,0.8027
RUN_0062,2023-11-21 10:25:30.072249,Sepolia,Heavy Load,SmartTourismToken,transferToken,46,15,271.1,343.9283716691584,286,449,0.8448
RUN_0063,2024-02-26 17:57:30.072249,Goerli,Mixed,SmartTourismToken,transferToken,15,6,259.35,349.23023927149984,270,437,0.8264
RUN_0064,2024-02-25 05:27:39.072249,Sepolia,Heavy Load,SmartReservation,mintToken,14,4,72.16,130.09411284010682,409,586,0.9478
RUN_0065,2024-06-30 09:07:48.072249,Sepolia,Mixed,SmartTourismToken,mintToken,80,2,141.49,228.8097689174981,105,304,0.8913
RUN_0066,2023-09-11 22:31:19.072249,Sepolia,Light Load,SmartReservation,mintToken,19,11,64.78,158.66841465527847,136,268,0.9888
RUN_0067,2025-02-23 17:28:11.072249,Goerli,Mixed,SmartReservation,mintToken,98,1,18.47,106.452449362369,233,423,0.888
RUN_0068,2023-10-08 01:17:27.072249,Goerli,Heavy Load,SmartTourismToken,bookTour,42,15,302.39,354.63303638144106,370,450,0.9459
RUN_0069,2025-05-26 10:59:23.072249,Goerli,Mixed,SmartReservation,transferToken,90,14,27.97,76.37774518915039,444,514,0.9157
RUN_0070,2025-07-25 13:37:05.072249,Sepolia,Heavy Load,SmartTourismToken,bookTour,13,2,93.91,146.03785124501263,422,578,0.9213
RUN_0071,2025-03-17 10:53:47.072249,Sepolia,Heavy Load,SmartTourismToken,transferToken,21,19,286.45,353.9548690236009,146,319,0.8836
RUN_0072,2025-01-27 02:17:43.072249,Goerli,Mixed,SmartReservation,transferToken,66,15,329.85,346.38155794978695,389,540,0.9802
RUN_0073,2025-01-23 09:41:52.072249,Polygon,Mixed,SmartReservation,cancelTour,79,13,189.73,277.4340339444397,202,368,0.9034
RUN_0074,2023-12-14 12:36:25.072249,Goerli,Mixed,SmartTourismToken,mintToken,83,11,278.68,376.7702421191549,317,486,0.9131
RUN_0075,2025-08-06 02:49:49.072249,Goerli,Heavy Load,SmartReservation,bookTour,94,5,475.35,570.5553285838763,188,269,0.9686
RUN_0076,2025-02-20 22:14:02.072249,Polygon,Heavy Load,SmartTourismToken,cancelTour,77,11,109.77,136.76961451134395,188,343,0.9324
RUN_0077,2024-07-12 21:22:18.072249,Sepolia,Heavy Load,SmartTourismToken,mintToken,27,6,333.83,350.86740283814396,223,407,0.9285
RUN_0078,2024-05-01 08:22:38.072249,Sepolia,Heavy Load,SmartTourismToken,mintToken,23,14,383.31,389.6670682003388,316,497,0.8367
RUN_0079,2025-06-14 06:13:53.072249,Polygon,Heavy Load,SmartTourismToken,bookTour,84,15,340.26,353.0561093053964,135,199,0.897
RUN_0080,2023-09-18 12:52:40.072249,Goerli,Mixed,SmartTourismToken,cancelTour,64,20,258.32,271.3743516763413,187,301,0.8881
RUN_0081,2024-04-30 06:05:18.072249,Sepolia,Heavy Load,SmartReservation,mintToken,29,20,44.82,127.80750727438715,488,665,0.9991
RUN_0082,2024-01-02 19:32:00.072249,Polygon,Light Load,SmartTourismToken,transferToken,64,14,128.01,169.9693947796168,190,243,0.8448
RUN_0083,2025-06-09 23:41:51.072249,Goerli,Light Load,SmartReservation,transferToken,79,10,116.02,153.2939077400981,134,189,0.9073
RUN_0084,2023-10-10 17:07:58.072249,Sepolia,Heavy Load,SmartTourismToken,bookTour,34,2,223.8,304.3083436895462,385,525,0.9398
RUN_0085,2023-10-24 03:06:36.072249,Sepolia,Heavy Load,SmartTourismToken,mintToken,58,5,47.26,131.2269542135464,77,133,0.9265
RUN_0086,2024-12-06 02:45:17.072249,Goerli,Light Load,SmartTourismToken,transferToken,36,2,26.86,96.0335056475249,466,559,0.8383
RUN_0087,2023-12-15 11:32:07.072249,Goerli,Heavy Load,SmartReservation,cancelTour,43,6,388.02,485.27024121657433,272,326,0.9741
RUN_0088,2024-10-14 04:38:28.072249,Polygon,Mixed,SmartTourismToken,mintToken,50,10,360.63,381.0826915406946,254,349,0.9425
RUN_0089,2024-06-27 16:22:34.072249,Sepolia,Light Load,SmartTourismToken,transferToken,22,20,409.36,502.30873737039514,138,262,0.9769
RUN_0090,2023-11-20 10:38:10.072249,Polygon,Mixed,SmartReservation,cancelTour,69,13,12.48,111.37090074684824,77,156,0.9626
RUN_0091,2024-12-15 19:46:46.072249,Goerli,Mixed,SmartReservation,transferToken,69,13,217.48,294.3648343714695,292,417,0.8604
RUN_0092,2025-02-11 04:07:09.072249,Polygon,Light Load,SmartTourismToken,mintToken,9,7,332.89,358.80221634151343,221,333,0.9239
RUN_0093,2024-05-12 21:18:11.072249,Sepolia,Mixed,SmartReservation,cancelTour,86,10,260.46,296.36097384018626,482,540,0.8919
RUN_0094,2024-12-30 16:31:33.072249,Sepolia,Light Load,SmartReservation,bookTour,86,19,337.44,350.13247097741026,91,239,0.9635
RUN_0095,2024-07-20 19:53:33.072249,Goerli,Light Load,SmartReservation,mintToken,86,9,59.48,68.41966623599313,137,336,0.942
RUN_0096,2024-12-10 15:25:24.072249,Sepolia,Light Load,SmartReservation,mintToken,69,2,271.05,275.55962256813973,329,506,0.9839
RUN_0097,2023-12-29 21:38:39.072249,Sepolia,Heavy Load,SmartReservation,cancelTour,3,7,113.82,203.15380390627604,393,508,0.8087
RUN_0098,2024-06-13 04:21:04.072249,Sepolia,Light Load,SmartReservation,transferToken,91,3,158.94,209.05576849056655,338,424,0.8058
RUN_0099,2024-04-18 08:28:49.072249,Sepolia,Heavy Load,SmartTourismToken,mintToken,42,6,228.59,327.03527044200393,336,407,0.9696
RUN_0100,2024-04-06 06:05:44.072249,Polygon,Light Load,SmartReservation,transferToken,76,12,177.05,217.20667768451437,219,373,0.8549
RUN_0101,2024-11-02 22:51:31.072249,Polygon,Heavy Load,SmartReservation,cancelTour,74,13,198.45,258.2597917874775,395,474,0.844
RUN_0102,2024-12-18 13:30:15.072249,Sepolia,Light Load,SmartTourismToken,cancelTour,60,14,379.35,400.69864697346725,202,374,0.9658
RUN_0103,2025-05-19 09:21:43.072249,Sepolia,Heavy Load,SmartTourismToken,mintToken,64,1,486.98,505.76199817177104,219,376,0.9666
RUN_0104,2024-12-30 04:55:58.072249,Goerli,Mixed,SmartTourismToken,transferToken,33,11,286.28,359.23428157668377,251,438,0.9751
RUN_0105,2024-07-18 10:20:40.072249,Sepolia,Mixed,SmartReservation,cancelTour,17,14,428.92,506.4794558118614,198,311,0.9801
RUN_0106,2024-01-01 12:42:25.072249,Goerli,Heavy Load,SmartTourismToken,bookTour,19,10,213.95,288.9457017892779,157,244,0.8546
RUN_0107,2023-11-13 21:53:55.072249,Polygon,Mixed,SmartTourismToken,bookTour,80,10,147.84,168.3907401816182,97,262,0.8307
RUN_0108,2024-03-14 14:16:17.072249,Goerli,Mixed,SmartReservation,cancelTour,45,11,331.09,378.0588783569786,241,322,0.8358
RUN_0109,2024-11-14 08:50:45.072249,Goerli,Heavy Load,SmartReservation,cancelTour,40,20,233.35,245.70769816124056,184,301,0.9891
RUN_0110,2025-03-05 10:15:33.072249,Goerli,Heavy Load,SmartReservation,transferToken,3,6,496.53,502.91409416124225,312,465,0.8159
RUN_0111,2025-02-18 16:51:09.072249,Sepolia,Mixed,SmartTourismToken,mintToken,82,3,66.77,85.3694015900058,321,450,0.9938
RUN_0112,2025-07-29 06:29:33.072249,Sepolia,Heavy Load,SmartTourismToken,cancelTour,40,20,156.7,224.8506283130779,61,258,0.9368
RUN_0113,2025-02-25 03:50:23.072249,Sepolia,Heavy Load,SmartReservation,cancelTour,82,7,278.3,353.3692453457443,105,227,0.8728
RUN_0114,2024-08-15 01:27:42.072249,Sepolia,Light Load,SmartTourismToken,bookTour,68,3,199.4,278.28210576192635,134,223,0.9735
RUN_0115,2024-08-29 17:37:59.072249,Goerli,Light Load,SmartTourismToken,mintToken,77,19,105.66,171.7806325306595,116,219,0.8497
RUN_0116,2024-09-07 11:36:10.072249,Sepolia,Mixed,SmartTourismToken,cancelTour,70,16,192.38,209.28446990640919,472,645,0.8028
RUN_0117,2025-04-23 09:55:42.072249,Polygon,Heavy Load,SmartTourismToken,transferToken,30,12,292.62,367.4135540400997,258,443,0.963
RUN_0118,2023-12-26 17:26:27.072249,Sepolia,Light Load,SmartReservation,mintToken,85,9,179.61,231.12419583184942,340,430,0.8706
RUN_0119,2025-03-18 07:28:51.072249,Goerli,Heavy Load,SmartReservation,mintToken,79,8,360.48,393.0198451427622,308,406,0.9638
RUN_0120,2025-02-04 04:48:22.072249,Sepolia,Light Load,SmartTourismToken,bookTour,88,13,136.67,138.96233913612969,220,406,0.9883
RUN_0121,2023-08-25 14:57:34.072249,Sepolia,Mixed,SmartTourismToken,cancelTour,36,15,117.73,124.82693519143375,467,609,0.8335
RUN_0122,2024-06-18 19:04:00.072249,Sepolia,Heavy Load,SmartTourismToken,transferToken,27,9,117.73,215.95082571991065,208,289,0.9668
RUN_0123,2024-10-28 19:16:14.072249,Polygon,Heavy Load,SmartTourismToken,transferToken,22,5,476.31,516.033994797964,135,225,0.951
RUN_0124,2025-05-03 06:16:28.072249,Polygon,Mixed,SmartTourismToken,mintToken,10,4,115.31,155.4006735027,267,348,0.8665
RUN_0125,2025-05-06 10:38:31.072249,Goerli,Light Load,SmartReservation,cancelTour,66,15,375.49,378.71220230720576,288,482,0.9789
RUN_0126,2025-01-26 13:53:31.072249,Goerli,Heavy Load,SmartTourismToken,mintToken,60,7,320.75,403.6975724637128,404,580,0.9785
RUN_0127,2025-05-17 04:26:53.072249,Sepolia,Light Load,SmartTourismToken,bookTour,17,17,53.52,55.23724541696462,499,660,0.9298
RUN_0128,2024-11-23 23:44:52.072249,Goerli,Heavy Load,SmartTourismToken,mintToken,51,11,327.72,418.2607493134644,208,310,0.9903
RUN_0129,2024-07-10 14:07:27.072249,Goerli,Mixed,SmartTourismToken,bookTour,16,7,122.43,151.2017860782822,439,522,0.9769
RUN_0130,2024-10-25 15:40:01.072249,Polygon,Light Load,SmartReservation,bookTour,48,17,494.28,572.3813782492259,217,391,0.8846
RUN_0131,2025-02-27 23:39:10.072249,Polygon,Heavy Load,SmartTourismToken,cancelTour,10,8,417.43,457.2881876873781,96,268,0.9753
RUN_0132,2024-02-15 14:58:50.072249,Sepolia,Mixed,SmartTourismToken,transferToken,64,7,480.58,485.1488584071543,79,244,0.9287
RUN_0133,2025-06-10 11:26:05.072249,Polygon,Heavy Load,SmartTourismToken,cancelTour,48,13,192.11,275.6306422958487,186,368,0.8528
RUN_0134,2025-04-11 00:47:54.072249,Goerli,Mixed,SmartReservation,cancelTour,90,14,496.11,544.8584447840935,360,477,0.8279
RUN_0135,2024-05-31 05:38:37.072249,Polygon,Light Load,SmartTourismToken,cancelTour,76,17,458.68,498.71440177900604,363,559,0.9332
RUN_0136,2023-10-07 22:43:46.072249,Polygon,Light Load,SmartReservation,cancelTour,2,4,135.89,193.61975142615336,103,285,0.9052
RUN_0137,2025-03-18 22:01:05.072249,Goerli,Light Load,SmartTourismToken,transferToken,18,2,199.14,282.9304699218147,302,399,0.8744
RUN_0138,2024-07-18 13:51:10.072249,Polygon,Light Load,SmartReservation,cancelTour,39,7,113.26,159.50721229372033,181,252,0.9122
RUN_0139,2025-05-12 03:17:58.072249,Polygon,Heavy Load,SmartReservation,cancelTour,85,11,225.89,256.62376977867814,143,256,0.854
RUN_0140,2024-04-03 17:38:36.072249,Sepolia,Light Load,SmartReservation,bookTour,3,4,286.95,348.12829847642905,282,389,0.9881
RUN_0141,2024-01-16 01:30:37.072249,Goerli,Mixed,SmartReservation,bookTour,79,16,218.12,253.53695620254013,217,324,0.8133
RUN_0142,2023-08-30 05:57:27.072249,Polygon,Heavy Load,SmartTourismToken,transferToken,93,18,121.67,200.23850558709864,140,224,0.8709
RUN_0143,2024-02-07 06:43:59.072249,Polygon,Light Load,SmartTourismToken,cancelTour,75,20,87.12,162.05674478276842,357,412,0.8932
RUN_0144,2024-04-12 07:40:48.072249,Polygon,Light Load,SmartTourismToken,mintToken,61,5,449.49,487.1018679492818,360,480,0.8578
RUN_0145,2024-05-09 03:38:08.072249,Polygon,Mixed,SmartReservation,cancelTour,89,14,284.34,317.3213124410005,320,518,0.8033
RUN_0146,2024-08-11 06:08:15.072249,Goerli,Mixed,SmartTourismToken,cancelTour,18,19,265.82,351.05300533466,311,462,0.9707
RUN_0147,2024-04-16 03:47:03.072249,Polygon,Mixed,SmartTourismToken,transferToken,5,11,473.78,549.1633903263912,483,533,0.9683
RUN_0148,2024-11-09 02:14:32.072249,Polygon,Light Load,SmartTourismToken,bookTour,22,11,354.33,369.0746477257535,60,134,0.8828
RUN_0149,2025-06-24 15:29:54.072249,Sepolia,Heavy Load,SmartTourismToken,bookTour,44,6,242.78,247.47242095149653,217,410,0.9875
RUN_0150,2024-04-07 04:26:19.072249,Polygon,Light Load,SmartReservation,mintToken,9,20,354.13,411.71347954783715,372,434,0.9474
RUN_0151,2023-12-09 13:29:13.072249,Sepolia,Light Load,SmartTourismToken,transferToken,35,6,122.03,201.04864727253533,327,496,0.9122
RUN_0152,2024-11-11 05:08:54.072249,Sepolia,Heavy Load,SmartReservation,cancelTour,7,9,396.06,426.17675007010655,238,354,0.9964
RUN_0153,2023-11-04 02:34:50.072249,Polygon,Heavy Load,SmartReservation,cancelTour,68,7,48.03,134.8225241214302,382,542,0.9159
RUN_0154,2024-03-18 08:42:44.072249,Sepolia,Heavy Load,SmartTourismToken,transferToken,84,7,13.45,26.006410320395496,247,393,0.8541
RUN_0155,2025-04-14 14:35:57.072249,Goerli,Mixed,SmartReservation,mintToken,27,8,461.72,466.35208274386156,441,499,0.8926
RUN_0156,2025-01-30 05:12:43.072249,Goerli,Heavy Load,SmartTourismToken,cancelTour,60,11,382.05,440.1187721514814,240,431,0.9603
RUN_0157,2024-11-27 12:12:57.072249,Goerli,Mixed,SmartTourismToken,transferToken,94,12,97.85,190.05479354653426,265,400,0.9734
RUN_0158,2025-08-05 06:19:53.072249,Sepolia,Heavy Load,SmartReservation,transferToken,39,17,246.36,343.74465475690863,310,466,0.9426
RUN_0159,2024-07-31 11:25:04.072249,Goerli,Light Load,SmartTourismToken,cancelTour,56,6,186.76,201.81268953508692,322,421,0.9224
RUN_0160,2023-11-05 19:14:57.072249,Sepolia,Mixed,SmartTourismToken,transferToken,44,4,183.32,231.79146199998252,394,484,0.8008
RUN_0161,2023-09-10 08:06:22.072249,Goerli,Heavy Load,SmartTourismToken,mintToken,77,12,38.08,61.77913013733278,339,507,0.9495
RUN_0162,2023-11-17 11:26:57.072249,Polygon,Mixed,SmartReservation,transferToken,2,19,260.26,278.663435504226,276,352,0.8638
RUN_0163,2024-11-16 16:26:07.072249,Sepolia,Light Load,SmartReservation,cancelTour,58,2,482.49,544.4886047065854,180,284,0.8358
RUN_0164,2025-03-29 15:42:22.072249,Goerli,Heavy Load,SmartTourismToken,mintToken,34,6,484.17,536.4597981140198,96,163,0.9221
RUN_0165,2023-10-20 11:04:34.072249,Polygon,Mixed,SmartReservation,mintToken,85,7,438.19,520.2843308605629,269,319,0.8314
RUN_0166,2024-07-07 07:22:29.072249,Goerli,Light Load,SmartReservation,bookTour,54,19,429.4,478.9546923218959,475,556,0.8217
RUN_0167,2024-07-21 16:20:46.072249,Goerli,Light Load,SmartReservation,mintToken,72,4,35.39,46.09573975383118,390,546,0.8154
RUN_0168,2024-01-03 10:11:49.072249,Goerli,Heavy Load,SmartReservation,cancelTour,8,13,351.87,405.2641112661686,187,298,0.8408
RUN_0169,2024-04-19 19:48:26.072249,Goerli,Heavy Load,SmartTourismToken,mintToken,53,17,279.49,378.8560024877197,85,211,0.8144
RUN_0170,2024-10-12 11:53:56.072249,Polygon,Mixed,SmartTourismToken,transferToken,38,3,414.0,473.7660762028257,221,384,0.9879
RUN_0171,2023-12-25 20:19:11.072249,Goerli,Heavy Load,SmartReservation,bookTour,29,10,283.85,320.81766519214665,136,238,0.9801
RUN_0172,2023-09-02 16:17:43.072249,Goerli,Heavy Load,SmartReservation,bookTour,18,7,285.25,353.7678696252898,321,469,0.8014
RUN_0173,2025-06-20 06:09:21.072249,Goerli,Heavy Load,SmartReservation,cancelTour,19,15,52.11,74.75369484801234,247,390,0.9088
RUN_0174,2023-12-07 04:42:35.072249,Polygon,Mixed,SmartReservation,cancelTour,77,19,60.25,71.93147967007144,79,186,0.9904
RUN_0175,2024-07-09 11:47:42.072249,Sepolia,Heavy Load,SmartTourismToken,cancelTour,88,12,14.59,70.90556969222419,468,644,0.9852
RUN_0176,2024-09-30 12:30:14.072249,Goerli,Light Load,SmartTourismToken,transferToken,33,13,326.58,362.07905535272545,256,340,0.8755
RUN_0177,2024-03-31 07:48:42.072249,Goerli,Heavy Load,SmartReservation,mintToken,35,7,420.12,476.5613789347068,319,455,0.9205
RUN_0178,2025-08-10 22:54:13.072249,Goerli,Mixed,SmartTourismToken,bookTour,37,3,233.71,273.8759878355677,55,167,0.977
RUN_0179,2024-01-21 14:23:45.072249,Goerli,Light Load,SmartTourismToken,mintToken,100,2,469.59,493.77605683772055,310,459,0.839
RUN_0180,2023-12-02 09:53:08.072249,Sepolia,Heavy Load,SmartTourismToken,mintToken,15,6,207.51,215.37681297595336,246,339,0.9025
RUN_0181,2024-11-19 19:58:27.072249,Sepolia,Light Load,SmartTourismToken,mintToken,69,17,462.07,464.1522881071166,377,488,0.8002
RUN_0182,2024-07-16 09:13:58.072249,Goerli,Mixed,SmartReservation,transferToken,3,18,23.08,48.40262076654492,486,569,0.854
RUN_0183,2024-02-11 16:14:13.072249,Goerli,Light Load,SmartReservation,mintToken,51,20,44.95,65.76658883741041,203,380,0.8753
RUN_0184,2024-02-26 01:47:02.072249,Goerli,Mixed,SmartTourismToken,transferToken,66,7,460.14,501.0923648357431,257,433,0.8514
RUN_0185,2025-04-16 20:07:32.072249,Sepolia,Light Load,SmartTourismToken,cancelTour,16,2,266.27,312.4783382006905,381,559,0.9075
RUN_0186,2023-11-19 13:49:53.072249,Sepolia,Heavy Load,SmartReservation,cancelTour,22,4,473.24,516.7183370988437,195,353,0.9183
RUN_0187,2024-06-10 15:57:22.072249,Sepolia,Light Load,SmartReservation,mintToken,82,19,354.52,378.2979801693644,154,309,0.8142
RUN_0188,2024-01-18 06:08:24.072249,Polygon,Light Load,SmartReservation,bookTour,66,14,108.98,167.16785135449462,121,241,0.9684
RUN_0189,2024-01-19 10:38:46.072249,Goerli,Mixed,SmartReservation,cancelTour,44,11,363.42,426.104375633054,477,532,0.8174
RUN_0190,2024-07-04 10:51:05.072249,Sepolia,Light Load,SmartReservation,cancelTour,50,9,67.6,151.64543969493735,451,521,0.9307
RUN_0191,2023-10-02 01:22:17.072249,Goerli,Mixed,SmartReservation,transferToken,85,14,122.35,159.83370907444927,275,400,0.8802
